COUNTYNS,ST,COUNTY,YEAR,MRD,CLR,RATE
00023901,AZ,Yuma,1965,3,2,0.666666667
00023901,AZ,Yuma,1965,2,2,1
00023901,AZ,Yuma,1966,4,3,0.75
00023901,AZ,Yuma,1966,1,1,1
00023901,AZ,Yuma,1967,1,1,1
00023901,AZ,Yuma,1968,6,6,1
00023901,AZ,Yuma,1969,4,3,0.75
00023901,AZ,Yuma,1969,1,1,1
00023901,AZ,Yuma,1970,2,1,0.5
00023901,AZ,Yuma,1970,4,4,1
00023901,AZ,Yuma,1971,4,3,0.75
00023901,AZ,Yuma,1971,4,4,1
00023901,AZ,Yuma,1972,2,0,0
00023901,AZ,Yuma,1972,1,1,1
00023901,AZ,Yuma,1973,2,1,0.5
00023901,AZ,Yuma,1973,3,3,1
00023901,AZ,Yuma,1974,2,0,0
00023901,AZ,Yuma,1974,2,1,0.5
00023901,AZ,Yuma,1975,3,1,0.333333333
00023901,AZ,Yuma,1975,3,2,0.666666667
00023901,AZ,Yuma,1976,4,0,0
00023901,AZ,Yuma,1976,4,4,1
00023901,AZ,Yuma,1977,3,3,1
00023901,AZ,Yuma,1978,4,3,0.75
00023901,AZ,Yuma,1978,7,6,0.857142857
00023901,AZ,Yuma,1979,7,4,0.571428571
00023901,AZ,Yuma,1979,10,9,0.9
00023901,AZ,Yuma,1980,13,6,0.461538462
00023901,AZ,Yuma,1980,5,5,1
00023901,AZ,Yuma,1981,2,0,0
00023901,AZ,Yuma,1981,1,1,1
00023901,AZ,Yuma,1982,4,3,0.75
00023901,AZ,Yuma,1982,1,1,1
00023901,AZ,Yuma,1983,4,2,0.5
00023901,AZ,Yuma,1984,4,2,0.5
00023901,AZ,Yuma,1984,1,1,1
00023901,AZ,Yuma,1985,13,3,0.230769231
00023901,AZ,Yuma,1985,1,1,1
00023901,AZ,Yuma,1986,4,2,0.5
00023901,AZ,Yuma,1987,3,2,0.666666667
00023901,AZ,Yuma,1988,5,3,0.6
00023901,AZ,Yuma,1989,4,3,0.75
00023901,AZ,Yuma,1990,3,2,0.666666667
00023901,AZ,Yuma,1991,2,1,0.5
00023901,AZ,Yuma,1991,1,1,1
00023901,AZ,Yuma,1992,1,1,1
00023901,AZ,Yuma,1994,2,1,0.5
00023901,AZ,Yuma,1995,3,2,0.666666667
00023901,AZ,Yuma,1996,2,0,0
00023901,AZ,Yuma,1996,2,1,0.5
00023901,AZ,Yuma,1997,1,1,1
00023901,AZ,Yuma,1999,3,2,0.666666667
00023901,AZ,Yuma,2000,4,3,0.75
00023901,AZ,Yuma,2000,1,1,1
00023901,AZ,Yuma,2001,4,3,0.75
00023901,AZ,Yuma,2001,1,1,1
00023901,AZ,Yuma,2002,2,2,1
00023901,AZ,Yuma,2003,3,1,0.333333333
00023901,AZ,Yuma,2003,1,1,1
00023901,AZ,Yuma,2004,3,1,0.333333333
00023901,AZ,Yuma,2005,1,0,0
00023901,AZ,Yuma,2005,10,3,0.3
00023901,AZ,Yuma,2006,1,0,0
00023901,AZ,Yuma,2006,3,1,0.333333333
00023901,AZ,Yuma,2006,3,3,1
00023901,AZ,Yuma,2007,6,0,0
00023901,AZ,Yuma,2007,6,3,0.5
00023901,AZ,Yuma,2008,2,0,0
00023901,AZ,Yuma,2008,4,2,0.5
00023901,AZ,Yuma,2009,6,2,0.333333333
00023901,AZ,Yuma,2009,2,1,0.5
00023901,AZ,Yuma,2009,1,1,1
00023901,AZ,Yuma,2010,5,2,0.4
00023901,AZ,Yuma,2010,3,2,0.666666667
