COUNTYNS,ST,COUNTY,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ID_00023901,AZ,Yuma,33%,50%,25%,33%,0%,54%,50%,44%,33%,25%,57%,27%,33%,50%,100%,80%,80%
ID_00025441,AZ,Apache,32%,30%,0%,18%,11%,3%,6%,9%,0%,0%,0%,100%,,0%,,,100%
ID_00025442,AZ,Cochise,120%,100%,150%,33%,0%,50%,50%,100%,50%,33%,300%,86%,29%,86%,100%,55%,71%
ID_00025443,AZ,Coconino,67%,100%,88%,33%,100%,20%,117%,100%,133%,100%,133%,200%,57%,150%,100%,67%,100%
ID_00025444,AZ,Graham,100%,0%,,,0%,,100%,0%,0%,,50%,,,,100%,,100%
ID_00025445,AZ,Mohave,77%,175%,157%,89%,100%,75%,94%,75%,82%,94%,89%,86%,50%,64%,67%,89%,40%
ID_00025446,AZ,Pima,57%,77%,73%,53%,62%,62%,64%,75%,65%,76%,68%,64%,48%,51%,59%,72%,61%
ID_00025447,AZ,Pinal,56%,133%,37%,47%,22%,26%,11%,30%,17%,16%,25%,38%,15%,86%,83%,25%,75%
ID_00037026,AZ,Maricopa,52%,70%,72%,90%,77%,70%,67%,64%,58%,49%,47%,47%,45%,45%,45%,42%,57%
ID_00040471,AZ,Gila,100%,0%,50%,40%,100%,100%,0%,100%,,100%,150%,100%,,,100%,33%,
ID_00040472,AZ,Santa Cruz,,,,,0%,0%,,0%,,,,,,0%,,100%,
ID_00042807,AZ,Greenlee,,,,,0%,,,,,0%,,,,,,,
ID_00042808,AZ,Navajo,25%,100%,,0%,60%,33%,83%,30%,0%,100%,200%,0%,60%,50%,100%,100%,200%
ID_00042809,AZ,Yavapai,117%,100%,50%,133%,92%,88%,88%,67%,125%,67%,60%,75%,125%,83%,73%,150%,43%
ID_00043540,AZ,La Paz,0%,600%,133%,75%,0%,0%,33%,25%,0%,0%,0%,,,,100%,67%,
ID_00063755,AR,Arkansas,0%,,0%,33%,,,0%,,100%,100%,0%,100%,100%,,75%,100%,100%
ID_00063756,AR,Ashley,100%,,0%,,67%,100%,67%,,,,,100%,0%,33%,,100%,100%
ID_00063757,AR,Bradley,100%,,0%,,0%,100%,,,100%,100%,100%,100%,,,,,
ID_00063758,AR,Calhoun,,0%,,,50%,,,,,,,100%,100%,100%,,,100%
ID_00063759,AR,Clay,100%,,,,,,,,,,,,,100%,,100%,
ID_00063760,AR,Cleveland,,,,,,,,,100%,,,100%,100%,,,,
ID_00063761,AR,Columbia,100%,100%,,,,,100%,71%,,,,80%,67%,50%,,200%,100%
ID_00066845,AR,Clark,0%,,,50%,0%,,0%,0%,,,100%,,50%,,,,
ID_00066846,AR,Conway,,50%,,100%,,100%,,0%,,,100%,0%,,,,0%,67%
ID_00066847,AR,Craighead,67%,60%,61%,100%,100%,100%,60%,100%,100%,60%,100%,100%,67%,50%,167%,50%,50%
ID_00066848,AR,Cross,0%,100%,100%,80%,,,0%,100%,,,,67%,,100%,100%,,
ID_00066849,AR,Dallas,,,,,100%,,,,,67%,100%,100%,,100%,100%,,100%
ID_00066850,AR,Desha,,100%,100%,,,100%,0%,,,,,100%,100%,100%,100%,,0%
ID_00066851,AR,Drew,50%,0%,,,100%,50%,,100%,,100%,,50%,,,150%,,100%
ID_00066852,AR,Faulkner,67%,60%,0%,50%,75%,50%,67%,100%,60%,100%,33%,,60%,150%,100%,0%,150%
ID_00066853,AR,Franklin,,100%,0%,,0%,,,,100%,,67%,,,,,100%,
ID_00066854,AR,Fulton,,,0%,,,,,100%,100%,,,,,,100%,100%,100%
ID_00066855,AR,Garland,50%,100%,,67%,80%,100%,89%,80%,125%,80%,80%,50%,88%,67%,50%,100%,83%
ID_00066856,AR,Grant,,,,,0%,,0%,,,,,0%,,,,,
ID_00066857,AR,Greene,,0%,100%,,100%,100%,,100%,33%,,,100%,,,,100%,
ID_00066858,AR,Hempstead,67%,100%,0%,100%,50%,,,,33%,100%,50%,100%,,0%,,100%,67%
ID_00066859,AR,Hot Spring,0%,,,100%,,0%,0%,,0%,0%,,,0%,100%,0%,,100%
ID_00066860,AR,Izard,,,,50%,,,0%,,,,,,0%,,,,100%
ID_00066861,AR,Jackson,0%,100%,0%,100%,,100%,100%,,,,0%,100%,,75%,100%,,100%
ID_00066862,AR,Jefferson,30%,50%,47%,40%,50%,14%,33%,31%,60%,61%,43%,22%,73%,68%,108%,83%,64%
ID_00066863,AR,Johnson,50%,100%,0%,100%,50%,,0%,50%,,,,,,,0%,100%,
ID_00066864,AR,Lafayette,0%,,,,,,,,,100%,0%,,0%,0%,100%,100%,100%
ID_00066865,AR,Lawrence,,,,,,,100%,0%,100%,,,,,0%,,,
ID_00066866,AR,Lee,,,,,,0%,,67%,100%,100%,100%,100%,0%,100%,,,
ID_00066872,AR,Howard,,,100%,,,,,100%,100%,,100%,100%,100%,100%,,,
ID_00066873,AR,Lincoln,,,,,,0%,,100%,,,100%,50%,50%,,,,100%
ID_00066874,AR,Little River,,,,,,,,0%,0%,,,,,,,,
ID_00066975,AR,Carroll,75%,,100%,,0%,100%,0%,83%,,,,,0%,50%,,0%,100%
ID_00066983,AR,Cleburne,0%,0%,200%,0%,,100%,,,0%,100%,,,,,100%,,
ID_00067102,AR,Saline,50%,100%,,,,,100%,,50%,,100%,50%,,50%,100%,100%,100%
ID_00069160,AR,Chicot,,0%,100%,100%,,100%,,100%,100%,25%,,,100%,100%,,100%,50%
ID_00069161,AR,Crawford,100%,100%,,0%,100%,100%,100%,0%,,,100%,,,0%,100%,100%,100%
ID_00069162,AR,Crittenden,83%,89%,83%,67%,63%,86%,43%,20%,100%,50%,70%,69%,33%,67%,67%,75%,125%
ID_00069163,AR,Independence,0%,100%,0%,100%,,,100%,100%,0%,0%,0%,,0%,,0%,0%,0%
