State,National Park,National Monument,National Preserve,National Historical Park,National Historic Site,International Historic Site,National Battlefield Park,National Military Park,National Battlefield ,National Battlefield Site,National Memorial,National Recreation Area,National Seashore,National Lakeshore,National River,National Reserve,National Parkway,National Trail,Other
AL,0,3,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0
AK,8,3,10,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,3,13,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0
AR,1,0,0,0,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0
CA,9,7,1,2,4,0,0,0,0,0,1,3,1,0,0,0,0,0,0
CO,4,5,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,3,2,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
GA,0,3,0,0,3,0,1,1,0,0,0,1,1,0,0,0,0,1,0
GU,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,2,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IL,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
IA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
LA,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ME,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
MD,0,1,0,2,3,0,0,0,2,0,0,0,1,0,0,0,1,2,4
MA,0,0,0,6,7,0,0,0,0,0,0,1,1,0,0,0,0,1,0
MI,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
MN,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
MS,0,0,0,1,0,0,0,2,1,1,0,0,1,0,0,0,1,1,0
MO,1,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0
MT,2,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0
NE,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
NV,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NH,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NJ,0,1,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0
NM,1,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY,0,6,0,3,8,0,0,0,0,0,3,1,1,0,0,0,0,1,0
NC,1,0,0,0,2,0,0,1,1,0,1,0,2,0,0,0,1,1,0
ND,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OH,1,1,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OK,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OR,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,0,0,0,3,6,0,0,1,1,0,3,1,0,0,2,0,0,2,0
PR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SC,1,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
SD,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
TN,1,0,0,2,1,0,0,2,2,0,0,0,0,0,2,0,1,2,0
TX,2,2,1,3,1,0,0,0,0,0,1,2,1,0,1,0,0,0,0
UT,5,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
VT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
VI,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,1,3,0,4,1,0,2,1,1,0,1,0,1,0,0,0,2,1,2
WA,3,0,0,4,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0
DC,0,1,0,1,5,0,0,0,0,0,11,0,0,0,0,0,1,0,5
WV,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0
WI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
WY,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
